2026-02-05 09:21:21.466 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-02-05 09:21:22.091 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#2f382a5e' of type [org.springframework.data.repository.core.support.RepositoryFragmentsFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.091 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#2f382a5e' of type [org.springframework.data.repository.core.support.RepositoryComposition$RepositoryFragments] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.093 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchDataConfiguration$RestClientConfiguration' of type [org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchDataConfiguration$RestClientConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.094 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations$RestHighLevelClientConfiguration' of type [org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations$RestHighLevelClientConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.112 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.elasticsearch-org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchProperties' of type [org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.114 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.elasticsearch.rest-org.springframework.boot.autoconfigure.elasticsearch.DeprecatedElasticsearchRestClientProperties' of type [org.springframework.boot.autoconfigure.elasticsearch.DeprecatedElasticsearchRestClientProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.115 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations$RestClientBuilderConfiguration' of type [org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations$RestClientBuilderConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.131 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultRestClientBuilderCustomizer' of type [org.springframework.boot.autoconfigure.elasticsearch.ElasticsearchRestClientConfigurations$DefaultRestClientBuilderCustomizer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.132 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'elasticsearchRestClientBuilder' of type [org.elasticsearch.client.RestClientBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.462 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'elasticsearchRestHighLevelClient' of type [org.elasticsearch.client.RestHighLevelClient] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.463 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchDataConfiguration$BaseConfiguration' of type [org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchDataConfiguration$BaseConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.489 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'elasticsearchCustomConversions' of type [org.springframework.data.elasticsearch.core.convert.ElasticsearchCustomConversions] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.536 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mappingContext' of type [org.springframework.data.elasticsearch.core.mapping.SimpleElasticsearchMappingContext] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.543 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'elasticsearchConverter' of type [org.springframework.data.elasticsearch.core.convert.MappingElasticsearchConverter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.562 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'elasticsearchTemplate' of type [org.springframework.data.elasticsearch.core.ElasticsearchRestTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.628 [I/O dispatcher 1] WARN  [] org.elasticsearch.client.RestClient - request [GET http://localhost:9200/] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:22.643 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_user] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:22.668 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [org.springframework.data.elasticsearch.repository.support.ElasticsearchRepositoryFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.669 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userRepository' of type [jdk.proxy2.$Proxy78] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.671 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userService' of type [com.zhishilu.service.UserService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.674 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jwtRealm' of type [com.zhishilu.shiro.JwtRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.689 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.694 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jwtFilter' of type [com.zhishilu.shiro.JwtFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.698 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.704 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.843 [main] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-02-05 09:21:22.848 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-02-05 09:21:22.849 [main] INFO  [] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-05 09:21:22.849 [main] INFO  [] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-02-05 09:21:22.917 [main] INFO  [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-02-05 09:21:22.917 [main] INFO  [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1389 ms
2026-02-05 09:21:23.023 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_log] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:23.045 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_article] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:23.262 [main] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-02-05 09:21:23.269 [main] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2026-02-05 09:21:23.274 [main] INFO  [] com.zhishilu.ZhishiluApplication - Started ZhishiluApplication in 2.16 seconds (JVM running for 7.801)
2026-02-05 09:21:23.278 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_article] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:23.280 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_user] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:23.282 [main] WARN  [] org.elasticsearch.client.RestClient - request [HEAD http://localhost:9200/zhishilu_log] returned 1 warnings: [299 Elasticsearch-7.17.29-580aff1a0064ce4c93293aaab6fcc55e22c10d1c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security."]
2026-02-05 09:21:23.282 [main] INFO  [] com.zhishilu.config.ElasticsearchIndexInitializer - Elasticsearch索引初始化完成
2026-02-05 09:23:42.737 [http-nio-8080-exec-3] INFO  [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-05 09:23:42.737 [http-nio-8080-exec-3] INFO  [] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-05 09:23:42.738 [http-nio-8080-exec-3] INFO  [] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-05 09:23:42.773 [http-nio-8080-exec-3] INFO  [a85d119145524edf8632d5713a959e60] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/] IP: [0:0:0:0:0:0:0:1], 耗时: 29ms, 参数: [], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770254622757}]
2026-02-05 09:30:44.668 [http-nio-8080-exec-2] INFO  [9ad89e9a24394014808b4e9a0f1f1766] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255044668}]
2026-02-05 09:30:45.956 [http-nio-8080-exec-8] INFO  [56260f48b4c5439487d79d1b63377fcd] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255045956}]
2026-02-05 09:30:49.569 [http-nio-8080-exec-7] INFO  [d8f6a4209a5c447492c2aa4cf4bb8a7b] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&category=%E8%AF%BB%E4%B9%A6], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255049569}]
2026-02-05 09:30:50.056 [http-nio-8080-exec-9] INFO  [8091e7a2681f4d578210188a24cc6f76] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 0ms, 参数: [page=0&size=20&category=%E5%B7%A5%E4%BD%9C], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255050056}]
2026-02-05 09:30:50.442 [http-nio-8080-exec-6] INFO  [4983601f7c424ddca8fbbe9e563735f7] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&category=%E5%85%B6%E4%BB%96], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255050442}]
2026-02-05 09:30:51.187 [http-nio-8080-exec-10] INFO  [e110814f5bc94091820dc5a55a050901] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&category=%E5%B7%A5%E4%BD%9C], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255051187}]
2026-02-05 09:30:51.568 [http-nio-8080-exec-4] INFO  [2dea2963629c42a9938d58ab92c3ebfa] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255051568}]
2026-02-05 09:31:13.953 [http-nio-8080-exec-3] INFO  [9fc7819c72dc4d5e946bd07a8481efe7] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255073953}]
2026-02-05 09:31:15.064 [http-nio-8080-exec-1] INFO  [8b4e8e5a056448c19fe7d7e06705aa13] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255075064}]
2026-02-05 09:31:37.856 [http-nio-8080-exec-5] INFO  [068bd1c0e166427189e0b8c8bd948790] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 2ms, 参数: [page=0&size=20&title=eqewqw], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255097856}]
2026-02-05 09:31:38.382 [http-nio-8080-exec-2] INFO  [4792a3826f794169bd940e09e7e3deba] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 7ms, 参数: [page=0&size=20&title=eqewqw], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255098382}]
2026-02-05 09:31:41.368 [http-nio-8080-exec-8] INFO  [115454ac453248e6bbe9a8cf9a95b069] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255101368}]
2026-02-05 09:31:41.511 [http-nio-8080-exec-7] INFO  [c776e9599153407c8ec59be522136f15] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 2ms, 参数: [page=0&size=20&title=eqewqwtqwrqw], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255101509}]
2026-02-05 09:31:42.353 [http-nio-8080-exec-9] INFO  [585db613a176469790397c6476609798] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw&category=%E5%85%B6%E4%BB%96], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255102353}]
2026-02-05 09:31:42.683 [http-nio-8080-exec-6] INFO  [317c1519cd404f979a0cce603109e124] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 2ms, 参数: [page=0&size=20&title=eqewqwtqwrqw&category=%E8%AF%BB%E4%B9%A6], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255102681}]
2026-02-05 09:31:42.985 [http-nio-8080-exec-10] INFO  [83ef2012d65e43669e246cdc4bf4651e] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw&category=%E5%B7%A5%E4%BD%9C], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255102985}]
2026-02-05 09:31:43.298 [http-nio-8080-exec-4] INFO  [ef849835da574c5c9702456df935b848] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw&category=%E7%94%9F%E6%B4%BB], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255103297}]
2026-02-05 09:31:43.593 [http-nio-8080-exec-3] INFO  [aec2b7b2eccc460d9a0776b64fdc39ce] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw&category=%E6%8A%80%E6%9C%AF], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255103593}]
2026-02-05 09:31:43.962 [http-nio-8080-exec-1] INFO  [3f7fb09e330c42098bfccd72c9e46610] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=20&title=eqewqwtqwrqw], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255103962}]
2026-02-05 09:42:23.311 [http-nio-8080-exec-5] INFO  [b70ae9764642494ca23ad656a3c842ef] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 0ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770255743311}]
2026-02-05 10:14:44.481 [http-nio-8080-exec-2] INFO  [2090e6dfcaea4a5b968c1edf77035d30] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257684481}]
2026-02-05 10:14:45.297 [http-nio-8080-exec-8] INFO  [a8586ded83f94d559a608cebc7a68784] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257685297}]
2026-02-05 10:14:46.129 [http-nio-8080-exec-7] INFO  [442f6546a35446a8a8689b1af60dbf83] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 0ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257686129}]
2026-02-05 10:14:47.193 [http-nio-8080-exec-9] INFO  [32450c7c1c154f2594509c80a6a1cca0] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257687193}]
2026-02-05 10:14:47.945 [http-nio-8080-exec-6] INFO  [ed362950ad934d1c9aaa3b57890df806] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257687945}]
2026-02-05 10:14:48.705 [http-nio-8080-exec-10] INFO  [ff8270248ee94da487f1b4a8ddcd92fe] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257688704}]
2026-02-05 10:14:49.591 [http-nio-8080-exec-4] INFO  [c58900fa700744fe8693b8e7af26fe7b] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257689591}]
2026-02-05 10:14:50.423 [http-nio-8080-exec-3] INFO  [c1e27cdc63494493a62d4e1ea276b112] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257690423}]
2026-02-05 10:14:58.568 [http-nio-8080-exec-1] INFO  [ec3a600ff0d94a28bdf644f76eaf06cb] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257698568}]
2026-02-05 10:14:59.633 [http-nio-8080-exec-5] INFO  [7700d4848a854792b3be346b93eac268] com.zhishilu.filter.AccessLogFilter - 接口调用: [GET /api/article/list] IP: [0:0:0:0:0:0:0:1], 耗时: 1ms, 参数: [page=0&size=24], 请求体: [], 响应结果: [{"code":401,"message":"请先登录","data":null,"timestamp":1770257699633}]
